subject,method,lam_p,sigma_min,sigma_max,PSNR,HFEN,SSIM
0,ISRSL0_wiener,0.077,0.3,5.0,32.08559090403657,0.2208190166069245,0.9034494100717565
0,ISRSL0_BM3D,0.077,0.3,5.0,30.461239980397497,0.18400671993109627,0.8300810031125475
0,SL0,0.077,0.3,5.0,28.3946689970931,0.25685646836814174,0.7182841676329226
0,Zero-filled,,,,28.302098241169446,0.2568869009353059,0.7173302628810518
1,ISRSL0_wiener,0.077,0.3,5.0,30.981791604409494,0.25920616751898523,0.868864761035195
1,ISRSL0_BM3D,0.077,0.3,5.0,28.23758212228991,0.21698650535363323,0.7851666027064812
1,SL0,0.077,0.3,5.0,26.46985424787937,0.30048546269722937,0.6578414261488269
1,Zero-filled,,,,26.372246426703615,0.30053877213748953,0.65668863329364
2,ISRSL0_wiener,0.077,0.3,5.0,27.301619305245612,0.218454934720069,0.806950889440103
2,ISRSL0_BM3D,0.077,0.3,5.0,27.600191366685245,0.1882124816139386,0.7244208610601502
2,SL0,0.077,0.3,5.0,23.366765432796633,0.26716662064981095,0.5859747448888702
2,Zero-filled,,,,23.25090851552041,0.2673189871377232,0.5841827751214189
3,ISRSL0_wiener,0.077,0.3,5.0,27.610454060048642,0.24161722398927918,0.8257883204323903
3,ISRSL0_BM3D,0.077,0.3,5.0,28.892259652379188,0.20613278224772344,0.7795189867145353
3,SL0,0.077,0.3,5.0,24.474917270376473,0.28887902596763226,0.6286355231454459
3,Zero-filled,,,,24.38300731223959,0.28898601776720984,0.6272058755181972
4,ISRSL0_wiener,0.077,0.3,5.0,28.766106985345665,0.2570316101185459,0.8529212921194712
4,ISRSL0_BM3D,0.077,0.3,5.0,26.164020205542855,0.21019070039266444,0.7730686321853321
4,SL0,0.077,0.3,5.0,22.781413102570433,0.2961374574190843,0.6218273540732647
4,Zero-filled,,,,22.67090454266793,0.2962713943888619,0.6201838794891337
5,ISRSL0_wiener,0.077,0.3,5.0,28.532289004256512,0.2760292839552872,0.8325916295264673
5,ISRSL0_BM3D,0.077,0.3,5.0,26.921151666698396,0.2388846687370797,0.7486389440598725
5,SL0,0.077,0.3,5.0,25.15362696556273,0.3118916974164282,0.6425109422895888
5,Zero-filled,,,,25.05430298585443,0.311958401737087,0.6413345439287956
6,ISRSL0_wiener,0.077,0.3,5.0,31.59990723115953,0.23246118436379398,0.8715817742250827
