subject,method,lam_p,sigma_min,sigma_max,PSNR,HFEN,SSIM
0,ISRSL0_wiener,0.077,0.3,5.0,30.835014075612435,0.2244890587435096,0.8043378044830838
0,ISRSL0_BM3D,0.077,0.3,5.0,27.977492901524524,0.21557543397833562,0.7676731084249071
0,SL0,0.077,0.3,5.0,24.789356813173356,0.23205546934412583,0.6467414562227418
0,Zero-filled,,,,24.149655535486257,0.23223651814410107,0.6386422039895238
1,ISRSL0_wiener,0.077,0.3,5.0,24.526784580548906,0.6155610387542702,0.49889390340652723
1,ISRSL0_BM3D,0.077,0.3,5.0,25.31966865358997,0.5987319145862455,0.5053842698962452
1,SL0,0.077,0.3,5.0,22.106835075712567,0.5820059727602331,0.5000806339833734
1,Zero-filled,,,,20.73878527981108,0.5823748642410193,0.4967136993679337
2,ISRSL0_wiener,0.077,0.3,5.0,29.305889236631707,0.3331593290775244,0.7227459070271991
2,ISRSL0_BM3D,0.077,0.3,5.0,26.025758297063952,0.32125484858337366,0.7049261003058038
2,SL0,0.077,0.3,5.0,22.497408568002335,0.3320108199615814,0.6018576140852365
2,Zero-filled,,,,21.441812271811358,0.33239065795536055,0.5912016130027069
3,ISRSL0_wiener,0.077,0.3,5.0,28.465547036318775,0.3609282835742197,0.6898056991014745
3,ISRSL0_BM3D,0.077,0.3,5.0,29.25157944733669,0.34461098267775286,0.6990638453316097
3,SL0,0.077,0.3,5.0,26.94943195380938,0.3541728763994725,0.6321347717208723
3,Zero-filled,,,,25.90721145379328,0.3542956867526977,0.6273814232299794
4,ISRSL0_wiener,0.077,0.3,5.0,25.40605713494378,0.30770033527477914,0.7033331406170372
4,ISRSL0_BM3D,0.077,0.3,5.0,24.121325068792324,0.28610576152331035,0.6842847970187317
4,SL0,0.077,0.3,5.0,23.712243015723633,0.29501231624940216,0.6043331136225253
4,Zero-filled,,,,23.311764157271373,0.2951114375890755,0.6014918185218848
5,ISRSL0_wiener,0.077,0.3,5.0,26.06911949984489,0.2007898453070055,0.7747621738811987
5,ISRSL0_BM3D,0.077,0.3,5.0,24.815417015062494,0.18541556436467857,0.7672651916859367
5,SL0,0.077,0.3,5.0,24.89825291104982,0.2012088878377368,0.6784726439710986
5,Zero-filled,,,,24.688588793740273,0.20128395116806203,0.6768903285670402
6,ISRSL0_wiener,0.077,0.3,5.0,25.785648922203627,0.2963149335844818,0.6929485119965819
6,ISRSL0_BM3D,0.077,0.3,5.0,25.55123166348093,0.2814060831535766,0.7089558420039546
6,SL0,0.077,0.3,5.0,24.948029241395485,0.2900071673745653,0.6239345863832104
6,Zero-filled,,,,24.87778254698659,0.2900407266973656,0.6230427663810674
7,ISRSL0_wiener,0.077,0.3,5.0,21.012720326747193,0.16255097824909695,0.7860279752005102
7,ISRSL0_BM3D,0.077,0.3,5.0,22.866212460098087,0.14452680655452205,0.8117377104661856
7,SL0,0.077,0.3,5.0,18.706896743445178,0.1666124732229281,0.6748627956963537
7,Zero-filled,,,,18.50002244799886,0.16674989464711565,0.6711851121214886
8,ISRSL0_wiener,0.077,0.3,5.0,23.076288949079142,0.26436867973361755,0.7415293536410873
8,ISRSL0_BM3D,0.077,0.3,5.0,22.8662420615344,0.24641637397755273,0.7510698591179583
8,SL0,0.077,0.3,5.0,21.056689781990098,0.25601976160657103,0.6603801470195545
8,Zero-filled,,,,20.70124446250729,0.256156322888283,0.6566522496289109
9,ISRSL0_wiener,0.077,0.3,5.0,18.05842291312496,0.27365159633534614,0.7049863457721336
9,ISRSL0_BM3D,0.077,0.3,5.0,15.171523838953977,0.2547954929989599,0.6153160500855913
9,SL0,0.077,0.3,5.0,15.743366641257065,0.2709249461987098,0.5443319355166528
9,Zero-filled,,,,15.365545224832626,0.27144657992063714,0.5366939328445545
10,ISRSL0_wiener,0.077,0.3,5.0,27.522187204148594,0.2584506282951301,0.7460871650946308
10,ISRSL0_BM3D,0.077,0.3,5.0,26.415814017365786,0.24516887565223816,0.7229390332171896
10,SL0,0.077,0.3,5.0,25.670586781481312,0.25830679348409524,0.6348900051842215
10,Zero-filled,,,,25.442798975902605,0.25836406086684616,0.6328750880757726
11,ISRSL0_wiener,0.077,0.3,5.0,30.009369826662,0.13916662116037584,0.8007765933553344
11,ISRSL0_BM3D,0.077,0.3,5.0,27.3341366968514,0.12963249914042657,0.818315600341109
11,SL0,0.077,0.3,5.0,26.650315524813802,0.1379468100296814,0.7461842343194303
11,Zero-filled,,,,26.51042404841729,0.13799029701234097,0.7451685962882496
12,ISRSL0_wiener,0.077,0.3,5.0,23.531323641375543,0.4169863747333194,0.6378450922168314
